"session","benchmark","10%(us)","20%(us)","50%(us)","75%(us)","90%(us)","95%(us)","99%(us)","99.9%(us)","99.99%(us)","max(us)","operations","duration(ms)","throughput"
08-09-2023_14-33-47,IAtomicReferenceTest-oneKbWrite,465.919,506.367,589.311,648.703,711.679,755.711,856.063,988.671,4829.183,7520.255,1892567,26002,72785.43958157065
08-09-2023_14-39-06,IAtomicReferenceTest-twoKbWrite,506.879,590.335,792.063,1418.239,8634.367,14065.663,20168.703,23707.647,25296.895,25788.415,429268,26003,16508.40287659116
08-09-2023_14-44-21,IAtomicReferenceTest-fourKbWrite,534.015,670.719,991.231,3078.143,17104.895,29114.367,40697.855,45711.359,48594.943,49577.983,228455,26000,8786.73076923077
08-09-2023_14-49-36,IAtomicReferenceTest-eightKbWrite,493.567,651.263,1389.567,5574.655,31162.367,47972.351,63275.007,75497.471,82378.751,85983.231,136577,26002,5252.557495577264
08-09-2023_14-54-51,IAtomicReferenceTest-sixteenKbWrite,434.687,629.759,1941.503,29245.439,139067.391,164888.575,191102.975,205651.967,215482.367,216924.159,38253,27001,1416.7253064701308
