1.00,343.551
1.11,434.687
1.25,629.759
1.43,1381.375
1.67,1571.839
2.00,1941.503
2.22,2437.119
2.50,2973.695
2.86,3694.591
3.33,8724.479
4.00,29245.439
4.44,44072.959
5.00,61702.143
5.71,78905.343
6.67,92340.223
8.00,104595.455
8.89,117702.655
10.00,139067.391
11.43,145358.847
13.33,152174.591
16.00,158728.191
17.78,161742.847
20.00,164888.575
22.86,168689.663
26.67,171442.175
32.00,175243.263
35.56,177078.271
40.00,178913.279
45.71,180617.215
53.33,183631.871
64.00,186646.527
71.11,187564.031
80.00,189005.823
91.43,190054.399
106.67,191102.975
128.00,192413.695
142.22,193462.271
160.00,194117.631
182.86,195035.135
213.33,195952.639
256.00,196607.999
284.44,196739.071
320.00,197263.359
365.71,197525.503
426.67,197918.719
512.00,198705.151
568.89,198836.223
640.00,199098.367
731.43,199884.799
853.33,201195.519
1024.00,205651.967
1137.78,206569.471
1280.00,207486.975
1462.86,207618.047
1706.67,208011.263
2048.00,209059.839
2275.56,209321.983
2560.00,209977.343
2925.71,209977.343
3413.33,210370.559
4096.00,211419.135
4551.11,213123.071
5120.00,214302.719
5851.43,214302.719
6826.67,214433.791
8192.00,214433.791
9102.22,214433.791
10240.00,215482.367
11702.86,215482.367
13653.33,215482.367
16384.00,215482.367
18204.44,215482.367
20480.00,216006.655
23405.71,216006.655
27306.67,216006.655
32768.00,216006.655
36408.89,216006.655
40960.00,216924.159
